"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765129534-57,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Pull"",""8 500CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2898864_uploaded_image1_1611023219.jpg"""
"1765129534-58,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble veste"",""15 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2894368_uploaded_image1_1610800978.jpg"""
"1765129534-59,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble de fille"",""11 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2879908_uploaded_image1_1610201702.jpg"""
"1765129534-60,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble de fille nouveau né"",""10 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2879903_uploaded_image1_1610201519.jpg"""
"1765129534-61,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensembles blousons"",""12 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2877447_uploaded_image1_1610105451.jpg"""
"1765129534-62,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Tenue mardi gras"",""2 000CFA"",""Saly, Sénégal"",""https://images.coinafrique.com/thumb_2862996_uploaded_image1_1609531083.jpg"""
"1765129534-63,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Tenue mardi gras"",""7 000CFA"",""Saly, Sénégal"",""https://images.coinafrique.com/thumb_2862982_uploaded_image1_1609530664.jpg"""
"1765129534-64,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Tenue mardi gras"",""5 000CFA"",""Saly, Sénégal"",""https://images.coinafrique.com/thumb_2862977_uploaded_image1_1609530409.jpg"""
"1765129534-65,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Tenue mardi gras"",""5 000CFA"",""Saly, Sénégal"",""https://images.coinafrique.com/thumb_2862973_uploaded_image1_1609530217.jpg"""
"1765129534-66,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Tenues mardi gras"",""8 000CFA"",""Mbour, Sénégal"",""https://images.coinafrique.com/thumb_2862971_uploaded_image1_1609530110.jpg"""
"1765129534-67,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble blouson-pantalon"",""12 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2855625_uploaded_image1_1609119933.jpg"""
"1765129534-68,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble blouson-pantalon"",""12 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2855622_uploaded_image1_1609119638.jpg"""
"1765129534-69,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements enfants"",""7 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2851844_uploaded_image1_1608894466.jpg"""
"1765129534-70,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Robe enfant"",""Prix sur demande"",""Rufisque, Sénégal"",""https://images.coinafrique.com/thumb_2850857_uploaded_image1_1608821060.jpg"""
"1765129534-71,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Robes de fées"",""25 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2848670_uploaded_image1_1608723432.jpg"""
"1765129534-72,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble enfant"",""12 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2848046_uploaded_image1_1608690285.jpg"""
"1765129534-73,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements bébé"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2847552_uploaded_image1_1608661644.jpg"""
"1765129534-74,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Lange-bébé"",""6 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2842909_uploaded_image1_1608475681.jpg"""
"1765129534-75,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Vêtements prêt à porter"",""Prix sur demande"",""Ouakam, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2841444_uploaded_image1_1608391212.jpg"""
"1765129534-76,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Blousons  enfant"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2837197_uploaded_image1_1608213138.jpg"""
"1765129534-77,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble bébé"",""3 500CFA"",""Ouakam, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2831975_uploaded_image1_1608024518.jpg"""
"1765129534-78,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Habits garçon"",""7 000CFA"",""Mbour, Sénégal"",""https://images.coinafrique.com/thumb_2830504_uploaded_image1_1607959137.jpg"""
"1765129534-79,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Robe bébé"",""6 000CFA"",""Ouakam, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2827196_uploaded_image1_1607800123.jpg"""
"1765129534-80,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Pyjamas"",""Prix sur demande"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2820655_uploaded_image1_1607533703.jpg"""
"1765129534-81,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble bébé"",""8 500CFA"",""Geule Tapée, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2820367_uploaded_image1_1607526579.jpg"""
"1765129534-82,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Ensemble bébé"",""8 500CFA"",""Geule Tapée, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2820366_uploaded_image1_1607526578.jpg"""
"1765129534-83,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Friperie enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2812825_uploaded_image1_1607261843.jpg"""
"1765129534-84,""https://sn.coinafrique.com/categorie/vetements-enfants?page=10"",""Friperie enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_2812824_uploaded_image1_1607261795.jpg"""
"1765129537-85,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Ensemble  pour garçon"",""4 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3137963_uploaded_image1_1622193150.jpg"""
"1765129537-86,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Chemises garçon"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3125676_uploaded_image1_1621537910.jpg"""
"1765129537-87,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robes enfants"",""7 000CFA"",""Dakar Plateau, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3125619_uploaded_image1_1621534794.jpg"""
"1765129537-88,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robe pour enfants"",""15 000CFA"",""Dieuppeul-Derklé, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3117591_uploaded_image2_1621167673.jpeg"""
"1765129537-89,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robe enfant"",""20 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3113417_uploaded_image1_1620899489.jpg"""
"1765129537-90,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robe"",""15 000CFA"",""Biscuiterie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3110386_uploaded_image1_1620737846.jpg"""
"1765129537-91,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robe"",""15 000CFA"",""Biscuiterie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3110145_uploaded_image1_1620730955.jpg"""
"1765129537-92,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robe princesse"",""5 000CFA"",""Almadies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3106812_uploaded_image1_1620581452.jpg"""
"1765129537-93,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robe bazin riche brodé fait main"",""15 000CFA"",""Biscuiterie, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3106119_uploaded_image1_1620547487.jpg"""
"1765129537-94,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Vêtements friperie enfants"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3104022_uploaded_image1_1620427612.jpg"""
"1765129537-95,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Vêtements enfants friperie"",""Prix sur demande"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3104018_uploaded_image1_1620427485.jpg"""
"1765129537-96,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Vêtements enfants"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3103497_uploaded_image1_1620407250.jpg"""
"1765129537-97,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Vêtements enfants"",""Prix sur demande"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3101212_uploaded_image1_1620313045.jpg"""
"1765129537-98,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Prêt à porter enfants"",""10 000CFA"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3100941_uploaded_image1_1620306624.jpg"""
"1765129537-99,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Vêtements enfant"",""Prix sur demande"",""Geule Tapée, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3100042_uploaded_image1_1620266770.jpg"""
"1765129537-100,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robe pour bébé"",""Prix sur demande"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3098724_uploaded_image1_1620219131.jpg"""
"1765129537-101,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Ensemble enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3098344_uploaded_image1_1620209550.jpg"""
"1765129537-102,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robes enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3098340_uploaded_image1_1620209467.jpg"""
"1765129537-103,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Ensembles enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3097531_uploaded_image1_1620165477.jpg"""
"1765129537-104,""https://sn.coinafrique.com/categorie/vetements-enfants?page=9"",""Robes enfants"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_3097522_uploaded_image1_1620165342.jpg"""
