"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128888-87,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""22 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5245634_uploaded_image1_1742669165.jpg"""
"1765128888-88,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""30 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5243960_uploaded_image1_1742572103.jpg"""
"1765128888-89,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Madden nyc maxwell - Bottes"",""35 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5196431_uploaded_image1_1740135850.jpg"""
"1765128888-90,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Baskets Air Force One"",""25 000CFA"",""Rufisque, Sénégal"",""https://images.coinafrique.com/thumb_5240817_uploaded_image1_1742416359.jpg"""
"1765128888-91,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""12 000CFA"",""Niaga, Sénégal"",""https://images.coinafrique.com/thumb_5239408_uploaded_image1_1742345593.jpg"""
"1765128888-92,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures hommes"",""12 000CFA"",""Guediawaye, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5237655_uploaded_image1_1742284734.jpg"""
"1765128888-93,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""6 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5236628_uploaded_image1_1742224825.jpg"""
"1765128888-94,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""4 500CFA"",""Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5236218_uploaded_image1_1742214517.jpg"""
"1765128888-95,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Sandales homme"",""8 000CFA"",""Hann Bel-Air, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5235403_uploaded_image1_1742168721.jpg"""
"1765128888-96,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5234080_uploaded_image1_1742075289.jpg"""
"1765128888-97,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""20 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5234076_uploaded_image1_1742075201.jpg"""
"1765128888-98,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures Unisexe"",""17 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5233961_uploaded_image1_1742068698.jpg"""
"1765128888-99,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures Unisexe"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5233958_uploaded_image1_1742068527.jpg"""
"1765128888-100,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Sandales pour homme"",""7 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5233956_uploaded_image1_1742068339.jpg"""
"1765128888-101,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Baskets Air Force One"",""17 000CFA"",""Parcelle Assainies, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5233911_uploaded_image1_1742064967.jpg"""
"1765128888-102,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""7 000CFA"",""Thies, Sénégal"",""https://images.coinafrique.com/thumb_5232564_uploaded_image1_1741979949.jpg"""
"1765128888-103,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures homme"",""7 000CFA"",""Thies, Sénégal"",""https://images.coinafrique.com/thumb_5231856_uploaded_image1_1741953647.jpg"""
"1765128888-104,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures hommes"",""25 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5231320_uploaded_image1_1741923376.jpg"""
"1765128888-105,""https://sn.coinafrique.com/categorie/chaussures-homme?page=9"",""Chaussures Jordans"",""28 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5231315_uploaded_image1_1741923032.jpg"""
