"web_scraper_order,web_scraper_start_url,type,price,address,image_link"
"1765128102-91,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Vetement cuir unisex"",""15 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017651_uploaded_image1_1730276328.jpg"""
"1765128102-92,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble homme turquie"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017649_uploaded_image1_1730276172.jpg"""
"1765128102-93,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble homme turquie unique"",""12 000CFA"",""Colobane, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017643_uploaded_image1_1730276074.jpg"""
"1765128102-94,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""T-shirts"",""7 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5060047_uploaded_image1_1732494172.jpg"""
"1765128102-95,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""T-shirts"",""7 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5060043_uploaded_image2_1732493842.jpeg"""
"1765128102-96,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Polo Lacoste"",""10 000CFA"",""Sicap Liberté, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5059345_uploaded_image1_1732456648.jpg"""
"1765128102-97,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Veste jules"",""15 000CFA"",""Ngor, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5017930_uploaded_image1_1730288595.jpg"""
"1765128102-98,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Chemise homme"",""Prix sur demande"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5056118_uploaded_image1_1732266346.jpg"""
"1765128102-99,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble Nike 2024"",""40 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5055867_uploaded_image1_1732245108.jpg"""
"1765128102-100,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble homme"",""50 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5055866_uploaded_image1_1732245045.jpg"""
"1765128102-101,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Pull-over jacket"",""25 000CFA"",""Grand Dakar, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5055865_uploaded_image1_1732244969.jpg"""
"1765128102-102,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble homme"",""Prix sur demande"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5055538_uploaded_image1_1732222164.jpg"""
"1765128102-103,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Dialabé homme"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5012319_uploaded_image1_1729947562.jpg"""
"1765128102-104,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble homme"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5007455_uploaded_image1_1729679311.jpg"""
"1765128102-105,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble homme"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5007453_uploaded_image1_1729679269.jpg"""
"1765128102-106,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Blouson"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5025750_uploaded_image1_1730714696.jpg"""
"1765128102-107,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Pantalon homme"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5005656_uploaded_image1_1729592761.jpg"""
"1765128102-108,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""pull"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5028858_uploaded_image1_1730843206.jpg"""
"1765128102-109,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""pull"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5028857_uploaded_image1_1730843166.jpg"""
"1765128102-110,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Capuche"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5028856_uploaded_image1_1730843121.jpg"""
"1765128102-111,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""ensemble homme"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5028853_uploaded_image1_1730843021.jpg"""
"1765128102-112,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble Lacoste"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5028851_uploaded_image1_1730842982.jpg"""
"1765128102-113,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""ensemble homme"",""Prix sur demande"",""HLM, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5028849_uploaded_image1_1730842943.jpg"""
"1765128102-114,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Pantalons homme"",""9 000CFA"",""Grand Yoff, Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5046295_uploaded_image1_1731706849.jpg"""
"1765128102-115,""https://sn.coinafrique.com/categorie/vetements-homme?page=9"",""Ensemble Lacoste + Kaki"",""14 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_5046243_uploaded_image1_1731704884.jpg"""
